said	study_accession	sample_accession	study_title	paper_id	pmid	doi	relation	evidence	provenance	title_similarity	verified_on
SAID056	GSE122043	GSM3453536	Single-cell analysis RNA sequencing of whole mouse skin at embryonic day 13.5 and 14.5	PMID_30595533	30595533	10.1016/j.devcel.2018.11.032	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.437	2026-07-18
SAID057	GSE122043	GSM3453538	Single-cell analysis RNA sequencing of whole mouse skin at embryonic day 13.5 and 14.5	PMID_30595533	30595533	10.1016/j.devcel.2018.11.032	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.437	2026-07-18
SAID132	GSE130973	GSM3758115	Single-cell transcriptomes of the aging human skin reveal loss of fibroblast priming	PMID_32327715	32327715	10.1038/s42003-020-0922-4	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.897	2026-07-18
SAID133	GSE130973	GSM3758116	Single-cell transcriptomes of the aging human skin reveal loss of fibroblast priming	PMID_32327715	32327715	10.1038/s42003-020-0922-4	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.897	2026-07-18
SAID134	GSE130973	GSM3758117	Single-cell transcriptomes of the aging human skin reveal loss of fibroblast priming	PMID_32327715	32327715	10.1038/s42003-020-0922-4	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.897	2026-07-18
SAID135	GSE130973	GSM3758119	Single-cell transcriptomes of the aging human skin reveal loss of fibroblast priming	PMID_32327715	32327715	10.1038/s42003-020-0922-4	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.897	2026-07-18
SAID208	GSE132802	GSM3892569	Single-cell RNA-sequencing of skin, fresh blood, and cultured peripheral blood mononuclear cells from a patient with drug-induced hypersensitivity syndrome and healthy volunteers	PMID_31959990	31959990	10.1038/s41591-019-0733-7	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.490	2026-07-18
SAID209	GSE132802	GSM3892577	Single-cell RNA-sequencing of skin, fresh blood, and cultured peripheral blood mononuclear cells from a patient with drug-induced hypersensitivity syndrome and healthy volunteers	PMID_31959990	31959990	10.1038/s41591-019-0733-7	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.490	2026-07-18
SAID210	GSE132802	GSM3892578	Single-cell RNA-sequencing of skin, fresh blood, and cultured peripheral blood mononuclear cells from a patient with drug-induced hypersensitivity syndrome and healthy volunteers	PMID_31959990	31959990	10.1038/s41591-019-0733-7	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.490	2026-07-18
SAID211	GSE132802	GSM3892579	Single-cell RNA-sequencing of skin, fresh blood, and cultured peripheral blood mononuclear cells from a patient with drug-induced hypersensitivity syndrome and healthy volunteers	PMID_31959990	31959990	10.1038/s41591-019-0733-7	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.490	2026-07-18
SAID212	GSE132802	GSM3892580	Single-cell RNA-sequencing of skin, fresh blood, and cultured peripheral blood mononuclear cells from a patient with drug-induced hypersensitivity syndrome and healthy volunteers	PMID_31959990	31959990	10.1038/s41591-019-0733-7	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.490	2026-07-18
SAID213	GSE132802	GSM3892581	Single-cell RNA-sequencing of skin, fresh blood, and cultured peripheral blood mononuclear cells from a patient with drug-induced hypersensitivity syndrome and healthy volunteers	PMID_31959990	31959990	10.1038/s41591-019-0733-7	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.490	2026-07-18
SAID214	GSE132802	GSM3892582	Single-cell RNA-sequencing of skin, fresh blood, and cultured peripheral blood mononuclear cells from a patient with drug-induced hypersensitivity syndrome and healthy volunteers	PMID_31959990	31959990	10.1038/s41591-019-0733-7	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.490	2026-07-18
SAID053	GSE146122	GSM4378540	Single Cell RNA-sequencing of murine tail interfollicular epidermis basal cells at postnatal days 7, 30 and in adult	PMID_32259486	32259486	10.1016/j.cell.2020.03.015	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.367	2026-07-18
SAID054	GSE146122	GSM4378541	Single Cell RNA-sequencing of murine tail interfollicular epidermis basal cells at postnatal days 7, 30 and in adult	PMID_32259486	32259486	10.1016/j.cell.2020.03.015	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.367	2026-07-18
SAID055	GSE146122	GSM4378542	Single Cell RNA-sequencing of murine tail interfollicular epidermis basal cells at postnatal days 7, 30 and in adult	PMID_32259486	32259486	10.1016/j.cell.2020.03.015	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.367	2026-07-18
SAID047	GSE153596	GSM4647785	Single Cell RNA Sequencing of neonatal and juvenile mice skin (wound and unwounded)	PMID_32990218	32990218	10.7554/eLife.60066	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.333	2026-07-18
SAID048	GSE153596	GSM4647786	Single Cell RNA Sequencing of neonatal and juvenile mice skin (wound and unwounded)	PMID_32990218	32990218	10.7554/eLife.60066	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.333	2026-07-18
SAID049	GSE153596	GSM4647787	Single Cell RNA Sequencing of neonatal and juvenile mice skin (wound and unwounded)	PMID_32990218	32990218	10.7554/eLife.60066	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.333	2026-07-18
SAID050	GSE153596	GSM4647788	Single Cell RNA Sequencing of neonatal and juvenile mice skin (wound and unwounded)	PMID_32990218	32990218	10.7554/eLife.60066	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.333	2026-07-18
SAID051	GSE153596	GSM4647789	Single Cell RNA Sequencing of neonatal and juvenile mice skin (wound and unwounded)	PMID_32990218	32990218	10.7554/eLife.60066	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.333	2026-07-18
SAID052	GSE153596	GSM4647790	Single Cell RNA Sequencing of neonatal and juvenile mice skin (wound and unwounded)	PMID_32990218	32990218	10.7554/eLife.60066	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.333	2026-07-18
SAID124	GSE155850	GSM7754887	scRNASeq data of CD45+CD3-CD19- and keratinocytes in normal and HS skin	PMID_32841223	32841223	10.1172/jci.insight.139932	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.242	2026-07-18
SAID125	GSE155850	GSM7754889	scRNASeq data of CD45+CD3-CD19- and keratinocytes in normal and HS skin	PMID_32841223	32841223	10.1172/jci.insight.139932	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.242	2026-07-18
SAID126	GSE155850	GSM7754890	scRNASeq data of CD45+CD3-CD19- and keratinocytes in normal and HS skin	PMID_32841223	32841223	10.1172/jci.insight.139932	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.242	2026-07-18
SAID044	GSE158691	GSM4805563	Single cell RNA-sequencing of murine dermal cells and hindlimb skeletal muscle stromal cells.	PMID_33737730	33737730	10.1038/s41551-021-00696-y	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.245	2026-07-18
SAID045	GSE158691	GSM4805560	Single cell RNA-sequencing of murine dermal cells and hindlimb skeletal muscle stromal cells.	PMID_33737730	33737730	10.1038/s41551-021-00696-y	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.245	2026-07-18
SAID046	GSE158691	GSM4805558	Single cell RNA-sequencing of murine dermal cells and hindlimb skeletal muscle stromal cells.	PMID_33737730	33737730	10.1038/s41551-021-00696-y	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.245	2026-07-18
SAID221	GSE158924	GSM4815800	Treatment of granuloma annulare and suppression of pro-inflammatory cytokine activity with tofacitinib [scRNA-Seq]	PMID_33317858	33317858	10.1016/j.jaci.2020.10.012	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.948	2026-07-18
SAID222	GSE158924	GSM4815801	Treatment of granuloma annulare and suppression of pro-inflammatory cytokine activity with tofacitinib [scRNA-Seq]	PMID_33317858	33317858	10.1016/j.jaci.2020.10.012	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.948	2026-07-18
SAID223	GSE158924	GSM4815802	Treatment of granuloma annulare and suppression of pro-inflammatory cytokine activity with tofacitinib [scRNA-Seq]	PMID_33317858	33317858	10.1016/j.jaci.2020.10.012	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.948	2026-07-18
SAID224	GSE158924	GSM4815803	Treatment of granuloma annulare and suppression of pro-inflammatory cytokine activity with tofacitinib [scRNA-Seq]	PMID_33317858	33317858	10.1016/j.jaci.2020.10.012	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.948	2026-07-18
SAID225	GSE158924	GSM4815804	Treatment of granuloma annulare and suppression of pro-inflammatory cytokine activity with tofacitinib [scRNA-Seq]	PMID_33317858	33317858	10.1016/j.jaci.2020.10.012	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.948	2026-07-18
SAID226	GSE158924	GSM4815805	Treatment of granuloma annulare and suppression of pro-inflammatory cytokine activity with tofacitinib [scRNA-Seq]	PMID_33317858	33317858	10.1016/j.jaci.2020.10.012	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.948	2026-07-18
SAID090	GSE165021	GSM5024746	Single-cell transcriptomics  of the mouse skin  reveal potential target of psoriasis	PMID_34936223	34936223	10.15252/emmm.202114455	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.351	2026-07-18
SAID091	GSE165021	GSM5024747	Single-cell transcriptomics  of the mouse skin  reveal potential target of psoriasis	PMID_34936223	34936223	10.15252/emmm.202114455	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.351	2026-07-18
SAID092	GSE165021	GSM5024748	Single-cell transcriptomics  of the mouse skin  reveal potential target of psoriasis	PMID_34936223	34936223	10.15252/emmm.202114455	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.351	2026-07-18
SAID093	GSE165021	GSM5024749	Single-cell transcriptomics  of the mouse skin  reveal potential target of psoriasis	PMID_34936223	34936223	10.15252/emmm.202114455	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.351	2026-07-18
SAID094	GSE165021	GSM5024750	Single-cell transcriptomics  of the mouse skin  reveal potential target of psoriasis	PMID_34936223	34936223	10.15252/emmm.202114455	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.351	2026-07-18
SAID095	GSE165021	GSM5024751	Single-cell transcriptomics  of the mouse skin  reveal potential target of psoriasis	PMID_34936223	34936223	10.15252/emmm.202114455	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.351	2026-07-18
SAID090	GSE165021	GSM5024746	Single-cell transcriptomics  of the mouse skin  reveal potential target of psoriasis	PMID_35281792	35281792	10.1002/mco2.120	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.278	2026-07-18
SAID091	GSE165021	GSM5024747	Single-cell transcriptomics  of the mouse skin  reveal potential target of psoriasis	PMID_35281792	35281792	10.1002/mco2.120	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.278	2026-07-18
SAID092	GSE165021	GSM5024748	Single-cell transcriptomics  of the mouse skin  reveal potential target of psoriasis	PMID_35281792	35281792	10.1002/mco2.120	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.278	2026-07-18
SAID093	GSE165021	GSM5024749	Single-cell transcriptomics  of the mouse skin  reveal potential target of psoriasis	PMID_35281792	35281792	10.1002/mco2.120	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.278	2026-07-18
SAID094	GSE165021	GSM5024750	Single-cell transcriptomics  of the mouse skin  reveal potential target of psoriasis	PMID_35281792	35281792	10.1002/mco2.120	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.278	2026-07-18
SAID095	GSE165021	GSM5024751	Single-cell transcriptomics  of the mouse skin  reveal potential target of psoriasis	PMID_35281792	35281792	10.1002/mco2.120	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.278	2026-07-18
SAID245	GSE173252	GSM5264341	Deciphering mesenchymal drivers of human Dupuytren’s disease at single-cell level	PMID_34274346	34274346	10.1016/j.jid.2021.05.030	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.994	2026-07-18
SAID246	GSE173252	GSM5264342	Deciphering mesenchymal drivers of human Dupuytren’s disease at single-cell level	PMID_34274346	34274346	10.1016/j.jid.2021.05.030	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.994	2026-07-18
SAID247	GSE173252	GSM5264344	Deciphering mesenchymal drivers of human Dupuytren’s disease at single-cell level	PMID_34274346	34274346	10.1016/j.jid.2021.05.030	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.994	2026-07-18
SAID248	GSE173252	GSM5264345	Deciphering mesenchymal drivers of human Dupuytren’s disease at single-cell level	PMID_34274346	34274346	10.1016/j.jid.2021.05.030	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.994	2026-07-18
SAID249	GSE173252	GSM5264346	Deciphering mesenchymal drivers of human Dupuytren’s disease at single-cell level	PMID_34274346	34274346	10.1016/j.jid.2021.05.030	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.994	2026-07-18
SAID250	GSE173252	GSM5264347	Deciphering mesenchymal drivers of human Dupuytren’s disease at single-cell level	PMID_34274346	34274346	10.1016/j.jid.2021.05.030	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.994	2026-07-18
SAID251	GSE173252	GSM5264348	Deciphering mesenchymal drivers of human Dupuytren’s disease at single-cell level	PMID_34274346	34274346	10.1016/j.jid.2021.05.030	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.994	2026-07-18
SAID252	GSE173252	GSM5264349	Deciphering mesenchymal drivers of human Dupuytren’s disease at single-cell level	PMID_34274346	34274346	10.1016/j.jid.2021.05.030	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.994	2026-07-18
SAID127	GSE175990	GSM5352392	Single cell transcriptional profile for hidradenitis suppurativa	PMID_34504848	34504848	10.3389/fmed.2021.665873	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.573	2026-07-18
SAID128	GSE175990	GSM5352393	Single cell transcriptional profile for hidradenitis suppurativa	PMID_34504848	34504848	10.3389/fmed.2021.665873	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.573	2026-07-18
SAID129	GSE175990	GSM5352394	Single cell transcriptional profile for hidradenitis suppurativa	PMID_34504848	34504848	10.3389/fmed.2021.665873	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.573	2026-07-18
SAID130	GSE175990	GSM5352395	Single cell transcriptional profile for hidradenitis suppurativa	PMID_34504848	34504848	10.3389/fmed.2021.665873	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.573	2026-07-18
SAID131	GSE179565	GSM5420670	Single-cell transcriptome analysis reveals the dynamics of human immune cells during early fetal skin development	PMID_34380039	34380039	10.1016/j.celrep.2021.109524	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	1.000	2026-07-18
SAID227	GSE181297	GSM5494438	Integrated analysis of single-cell and spatial transcriptomics in keloids	PMID_35123990	35123990	10.1016/j.jid.2022.01.017	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.695	2026-07-18
SAID043	GSE189210	GSM5696148	Parallel single cell multi-omics analysis of neonatal skin reveals transitional fibroblast states that restrict differentiation into distinct fates	PMID_34922949	34922949	10.1016/j.jid.2021.11.032	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.983	2026-07-18
SAID153	GSE193304	GSM5788491	Single-cell Sequencing Highlights Heterogeneity and Malignant Progression in Actinic Keratosis and Cutaneous Squamous Cell Carcinoma	PMID_38099574	38099574	10.7554/eLife.85270	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	1.000	2026-07-18
SAID154	GSE193304	GSM5788492	Single-cell Sequencing Highlights Heterogeneity and Malignant Progression in Actinic Keratosis and Cutaneous Squamous Cell Carcinoma	PMID_38099574	38099574	10.7554/eLife.85270	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	1.000	2026-07-18
SAID155	GSE193304	GSM5788493	Single-cell Sequencing Highlights Heterogeneity and Malignant Progression in Actinic Keratosis and Cutaneous Squamous Cell Carcinoma	PMID_38099574	38099574	10.7554/eLife.85270	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	1.000	2026-07-18
SAID156	GSE193304	GSM5788494	Single-cell Sequencing Highlights Heterogeneity and Malignant Progression in Actinic Keratosis and Cutaneous Squamous Cell Carcinoma	PMID_38099574	38099574	10.7554/eLife.85270	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	1.000	2026-07-18
SAID157	GSE193304	GSM5788495	Single-cell Sequencing Highlights Heterogeneity and Malignant Progression in Actinic Keratosis and Cutaneous Squamous Cell Carcinoma	PMID_38099574	38099574	10.7554/eLife.85270	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	1.000	2026-07-18
SAID158	GSE193304	GSM5788496	Single-cell Sequencing Highlights Heterogeneity and Malignant Progression in Actinic Keratosis and Cutaneous Squamous Cell Carcinoma	PMID_38099574	38099574	10.7554/eLife.85270	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	1.000	2026-07-18
SAID159	GSE193304	GSM5788497	Single-cell Sequencing Highlights Heterogeneity and Malignant Progression in Actinic Keratosis and Cutaneous Squamous Cell Carcinoma	PMID_38099574	38099574	10.7554/eLife.85270	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	1.000	2026-07-18
SAID160	GSE193304	GSM5788498	Single-cell Sequencing Highlights Heterogeneity and Malignant Progression in Actinic Keratosis and Cutaneous Squamous Cell Carcinoma	PMID_38099574	38099574	10.7554/eLife.85270	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	1.000	2026-07-18
SAID161	GSE193304	GSM5788499	Single-cell Sequencing Highlights Heterogeneity and Malignant Progression in Actinic Keratosis and Cutaneous Squamous Cell Carcinoma	PMID_38099574	38099574	10.7554/eLife.85270	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	1.000	2026-07-18
SAID162	GSE193304	GSM5788500	Single-cell Sequencing Highlights Heterogeneity and Malignant Progression in Actinic Keratosis and Cutaneous Squamous Cell Carcinoma	PMID_38099574	38099574	10.7554/eLife.85270	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	1.000	2026-07-18
SAID163	GSE193304	GSM5788501	Single-cell Sequencing Highlights Heterogeneity and Malignant Progression in Actinic Keratosis and Cutaneous Squamous Cell Carcinoma	PMID_38099574	38099574	10.7554/eLife.85270	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	1.000	2026-07-18
SAID164	GSE193304	GSM5788503	Single-cell Sequencing Highlights Heterogeneity and Malignant Progression in Actinic Keratosis and Cutaneous Squamous Cell Carcinoma	PMID_38099574	38099574	10.7554/eLife.85270	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	1.000	2026-07-18
SAID165	GSE195674	GSM5847946	Single cell RNA sequencing and TCR repertoire analysis of Adult T-cell Leukemia/Lymphoma (ATLL)	PMID_35464471	35464471	10.3389/fimmu.2022.856363	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.320	2026-07-18
SAID040	GSE196677	GSM5898068	Single-cell transcriptomics reveals natural product Shi-Bi-Man promotes hair regeneration	PMID_38429819	38429819	10.1186/s13020-024-00907-z	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.348	2026-07-18
SAID041	GSE196677	GSM5898069	Single-cell transcriptomics reveals natural product Shi-Bi-Man promotes hair regeneration	PMID_38429819	38429819	10.1186/s13020-024-00907-z	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.348	2026-07-18
SAID042	GSE196677	GSM5898070	Single-cell transcriptomics reveals natural product Shi-Bi-Man promotes hair regeneration	PMID_38429819	38429819	10.1186/s13020-024-00907-z	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.348	2026-07-18
SAID152	GSE203034	GSM6152838	Single-cell analysis of human dermal fibroblasts isolated from a single male donor over 35 years	PMID_37727050	37727050	10.1111/exd.14929	primary_dataset_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	1.000	2026-07-18
SAID215	GSE203262	GSM6165459	single cell RNA-sequencing of matched lesional and nonlesional skin from vitiligo patients	PMID_35653192	35653192	10.1172/jci.insight.154585	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.318	2026-07-18
SAID216	GSE203262	GSM6165460	single cell RNA-sequencing of matched lesional and nonlesional skin from vitiligo patients	PMID_35653192	35653192	10.1172/jci.insight.154585	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.318	2026-07-18
SAID217	GSE203262	GSM6165462	single cell RNA-sequencing of matched lesional and nonlesional skin from vitiligo patients	PMID_35653192	35653192	10.1172/jci.insight.154585	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.318	2026-07-18
SAID218	GSE203262	GSM6165463	single cell RNA-sequencing of matched lesional and nonlesional skin from vitiligo patients	PMID_35653192	35653192	10.1172/jci.insight.154585	repository_linked_publication	PubMed identifier recorded in AllData.xlsx	AllData.xlsx	0.318	2026-07-18
